example_id,label
0,1
1,1
2,0
3,1
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,0
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,1
85,0
86,1
87,0
88,1
89,0
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,0
102,1
103,1
104,0
105,0
106,1
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,1
122,1
123,1
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,1
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,0
157,1
158,0
159,0
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,0
193,0
194,0
195,0
196,0
197,1
198,1
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,1
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,0
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,0
231,0
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,1
260,0
261,1
262,1
263,0
264,0
265,1
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,0
275,1
276,1
277,0
278,0
279,1
280,1
281,0
282,1
283,0
284,1
285,0
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,0
294,1
295,0
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,0
305,0
306,1
307,0
308,1
309,0
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,1
318,0
319,0
320,1
321,0
322,1
323,0
324,1
325,1
326,1
327,0
328,1
329,0
330,1
331,0
332,1
333,1
334,1
335,1
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,0
356,0
357,0
358,1
359,1
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,0
369,0
370,1
371,1
372,0
373,1
374,1
375,1
376,1
377,0
378,0
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,0
389,1
390,1
391,0
392,1
393,1
394,0
395,0
396,1
397,1
398,1
399,0
400,1
401,1
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,0
410,0
411,1
412,1
413,0
414,0
415,0
416,0
417,1
418,0
419,1
420,1
421,1
422,0
423,0
424,0
425,1
426,1
427,0
428,0
429,0
430,0
431,1
432,1
433,1
434,1
435,0
436,1
437,0
438,1
439,1
440,0
441,1
442,0
443,0
444,1
445,1
446,1
447,0
448,0
449,0
450,0
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,0
467,0
468,1
469,0
470,1
471,0
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,0
504,1
505,0
506,0
507,1
508,0
509,1
510,1
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,1
523,1
524,1
525,1
526,0
527,0
528,1
529,0
530,1
531,0
532,0
533,0
534,1
535,1
536,0
537,0
538,1
539,0
540,0
541,0
542,1
543,0
544,1
545,1
546,0
547,1
548,1
549,1
550,1
551,1
552,0
553,0
554,0
555,0
556,1
557,0
558,1
559,0
560,1
561,1
562,0
563,0
564,1
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,0
574,0
575,0
576,1
577,1
578,0
579,0
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,0
594,0
595,0
596,0
597,1
598,1
599,1
600,0
601,1
602,1
603,1
604,1
605,0
606,1
607,0
608,1
609,0
610,1
611,1
612,1
613,0
614,0
615,0
616,1
617,1
618,0
619,0
620,1
621,0
622,0
623,0
624,0
625,0
626,0
627,1
628,0
629,0
630,1
631,0
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,0
640,0
641,0
642,0
643,1
644,0
645,0
646,1
647,1
648,1
649,0
650,0
651,0
652,1
653,0
654,1
655,0
656,0
657,0
658,1
659,0
660,1
661,1
662,1
663,1
664,1
665,1
666,0
667,1
668,1
669,1
670,0
671,1
672,0
673,1
674,0
675,1
676,1
677,0
678,1
679,1
680,0
681,1
682,0
683,1
684,1
685,1
686,0
687,0
688,0
689,1
690,1
691,0
692,0
693,0
694,1
695,0
696,1
697,0
698,1
699,0
700,1
701,0
702,0
703,1
704,0
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,0
713,0
714,0
715,0
716,0
717,1
718,0
719,1
720,1
721,0
722,1
723,1
724,0
725,1
726,1
727,1
728,0
729,0
730,1
731,1
732,1
733,1
734,1
735,0
736,1
737,0
738,1
739,0
740,0
741,0
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,0
750,1
751,1
752,0
753,0
754,1
755,1
756,1
757,1
758,1
759,1
760,0
761,1
762,0
763,1
764,0
765,1
766,1
767,0
768,0
769,1
770,1
771,1
772,0
773,1
774,1
775,1
776,0
777,1
778,0
779,1
780,1
781,1
782,1
783,0
784,1
785,1
786,1
787,0
788,0
789,0
790,0
791,0
792,1
793,1
794,1
795,0
796,0
797,0
798,1
799,0
800,0
801,1
802,0
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
